GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
46121VTD-SA,241,157,83,250,175,57,257,202,57,268,225,35
46121VTD-SF,329,224,100,339,270,44,308,249,45,328,280,36
46121VTDMNA,498,347,150,503,371,94,529,433,100,541,480,67
46123VTD-CF,131,19,111,131,19,112,130,32,83,131,64,83
46123VTD-CL,362,64,297,363,41,297,337,83,238,347,159,220
46123VTD-E2,241,48,191,244,45,192,221,86,140,228,94,130
46123VTD-E3,290,43,245,287,47,222,269,91,177,274,121,157
46123VTD-HM,102,4,88,101,4,87,85,18,58,87,20,57
46123VTD-ID,80,9,67,80,10,64,66,16,50,71,19,48
46123VTD-LM,327,61,257,324,45,260,310,92,218,313,111,194
46123VTD-SU,95,25,65,94,17,65,95,46,63,102,53,53
46123VTD-W2,350,65,288,348,78,263,309,110,202,321,148,173
46123VTD-W3,203,54,160,204,42,161,178,75,114,191,89,96
